customer_id,first_name,last_name,email,country
1,Natalie,Perry,andrewchen@hotmail.com,Equatorial Guinea
2,Kelly,Harris,bonnierodriguez@hotmail.com,Saint Vincent and the Grenadines
3,Jennifer,Duncan,hollowaymichael@yahoo.com,Panama
4,Craig,Stafford,steven26@yahoo.com,Lao People's Democratic Republic
5,Shirley,Keller,charleswashington@torres-gregory.com,Suriname
6,Haley,Romero,beltranvictoria@matthews.org,Nicaragua
7,Lisa,Davis,rgrant@gmail.com,Belgium
8,Rachel,Murphy,epratt@hunter-walker.com,Antigua and Barbuda
9,Sean,Holloway,johnsonjillian@hotmail.com,American Samoa
10,Hunter,Simpson,jennifer73@le-holland.biz,Myanmar
11,Nicole,Bradford,udalton@yahoo.com,Seychelles
12,Sabrina,Anthony,wphillips@cox-gordon.com,Botswana
13,Elizabeth,Moore,williamsgina@gmail.com,Argentina
14,Kristen,Perry,tbrooks@hotmail.com,Madagascar
15,Julie,Boyd,karen43@yahoo.com,Heard Island and McDonald Islands
16,Joseph,Taylor,wrightleslie@reilly.com,Libyan Arab Jamahiriya
17,Omar,Vazquez,baileycrawford@gmail.com,Slovenia
18,Jason,Hernandez,howedenise@morse.com,Germany
19,Lisa,Moore,phernandez@hotmail.com,Tanzania
20,Michael,Nelson,wesleymartin@gmail.com,United States Minor Outlying Islands
21,Kiara,Taylor,ywalsh@yahoo.com,Russian Federation
22,James,Tyler,smithbrent@yahoo.com,Burkina Faso
23,Samantha,Oneal,moraleskatherine@salas.com,Guam
24,James,Patton,greeneseth@yahoo.com,Turkmenistan
25,Holly,Sanchez,odavis@terry-graham.org,Sudan
26,Kelly,West,jessica58@pearson.com,Oman
27,Debbie,Mullins,bnorton@cross-anderson.com,United States Minor Outlying Islands
28,Sarah,Jones,holson@gmail.com,New Caledonia
29,Pamela,Hicks,garymarquez@hotmail.com,Switzerland
30,Judy,Stewart,durhamkathryn@long-daugherty.org,Mauritius
31,Thomas,Garcia,orogers@gmail.com,Barbados
32,Regina,Miranda,bensonvanessa@hotmail.com,India
33,Roger,Mckinney,derek89@miller.com,Botswana
34,Travis,Martin,herreraoscar@yahoo.com,Lao People's Democratic Republic
35,Amy,West,rachel43@gmail.com,Costa Rica
36,Kevin,Flores,daisy44@green-howe.net,Guam
37,Jennifer,Smith,beth64@gmail.com,Somalia
38,Sabrina,Cole,michael89@dawson.net,Romania
39,Paul,Baker,hendersonzachary@mckenzie.net,Comoros
40,Jeff,Sanders,wilcoxnorman@yahoo.com,Saint Vincent and the Grenadines
41,Benjamin,Thompson,josephcooke@williams.net,Guernsey
42,Emily,Simpson,donaldwilliams@gmail.com,Tajikistan
43,Carol,Aguirre,sandra44@mcconnell.com,Switzerland
44,Eric,Hamilton,larsenjohn@hodges.com,Lao People's Democratic Republic
45,Lisa,Huber,echapman@little.com,Japan
